State,N,P,K,temperature,rainfall,ph,Crop,Yield
Himachal Pradesh,22,57,37,22.09041979382972,94.76840080249394,6.69,Wheat,5.49
Sikkim,112,28,62,30.04010138651457,111.80352653717517,6.91,Sugarcane,8.6
Meghalaya,119,62,76,27.9434011842001,153.05666377429617,7.63,Wheat,9.77
Assam,104,24,79,30.91358863070171,347.0430956091718,6.22,Rice,15.58
Mizoram,46,63,110,23.977421625391802,56.61931033168748,6.66,Wheat,5.02
Rajasthan,114,64,76,23.782718312960284,141.70611970582877,5.79,Wheat,8.91
Sikkim,84,56,100,24.029170696123924,220.62697072440335,5.83,Sugarcane,10.7
Punjab,94,18,87,17.086043487904274,76.95256930420638,5.78,Wheat,5.9
Jharkhand,21,53,37,23.919987118445174,203.04492599640975,7.24,Sugarcane,8.9
Telangana,63,61,52,32.31207158369285,195.98319389227717,7.57,Maize,10.37
Assam,98,81,38,29.95601095113641,318.7670679119043,7.6,Rice,14.52
Tamil Nadu,102,15,20,34.950387897246316,132.43639142370822,6.84,Maize,9.51
Andhra Pradesh,117,51,58,28.597338310568354,245.1806215035229,7.86,Wheat,12.56
Tamil Nadu,114,47,78,25.225374019074092,80.3008387869038,6.23,Maize,7.21
Tripura,68,90,24,26.606211959576648,185.75163434428197,8.33,Rice,9.59
Maharashtra,119,11,30,35.63036009967657,37.34579671469842,8.05,Cotton,7.06
Meghalaya,112,76,141,21.558307372093996,144.89308033098848,6.7,Cotton,8.74
Goa,75,55,65,24.134044432403297,100.52193527758142,8.24,Wheat,6.93
Gujarat,63,15,110,34.436927880424705,87.3378477057868,6.96,Cotton,7.32
Goa,57,30,138,22.368475630656285,226.85538306204776,6.6,Maize,10.18
Karnataka,54,59,144,29.362789275060305,111.53638100069062,7.5,Maize,7.36
Mizoram,50,26,21,30.716137569713773,105.7423117748522,7.24,Sugarcane,7.24
Kerala,106,69,142,27.616842604608056,288.39774242573054,6.15,Rice,13.53
West Bengal,71,62,111,32.152174149120604,259.8442945689492,6.04,Rice,12.43
Jharkhand,65,66,131,23.721268267350272,239.84321711605182,5.52,Rice,10.87
Rajasthan,119,46,146,31.913797293997117,174.99032598336473,6.79,Sugarcane,10.82
Mizoram,104,25,103,29.7437150692391,195.23419380983864,7.86,Wheat,10.91
Rajasthan,44,50,68,21.24227331949556,180.63363732478922,5.6,Maize,8.42
Madhya Pradesh,67,80,114,26.85913655636066,242.27396346957596,7.97,Maize,11.29
Uttarakhand,75,16,88,25.939689051132014,160.81481226082684,7.8,Wheat,8.92
Goa,59,39,77,20.003319261908796,247.40292704789786,7.89,Sugarcane,10.6
Goa,104,73,92,28.26277213499331,72.90292866515043,7.72,Rice,7.09
Gujarat,93,89,15,35.28207366103265,39.619603057946186,5.85,Cotton,6.58
Uttarakhand,59,61,13,25.999909548191837,214.1780513871293,6.26,Rice,10.21
Chhattisgarh,65,23,14,24.764025933793462,54.48467121205507,5.97,Rice,5.41
Himachal Pradesh,64,35,126,33.41160818317725,132.51207506411444,6.37,Rice,8.6
Telangana,48,100,96,33.592607156205844,99.35394711760452,5.87,Maize,7.3
Mizoram,52,61,57,28.58273644302529,223.94969920429867,7.99,Maize,10.62
Arunachal Pradesh,45,96,56,27.113616170292623,163.37331817008146,7.35,Wheat,8.51
West Bengal,96,75,88,25.973514291667694,225.66867903813664,7.74,Rice,11.29
